,0,1,2,3,4,5,6,7
70,1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0
71,1.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0
72,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0
73,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0
74,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0
75,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0
76,1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0
77,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0
78,2.0,3.0,3.0,0.0,226.0,0.0,0.0,3.0
79,2.0,3.0,3.0,0.0,226.0,0.0,0.0,3.0
80,2.0,3.0,3.0,0.0,256.0,1.0,0.0,3.0
81,3.0,3.0,3.0,1.0,257.0,0.0,272.0,3.0
82,2.0,3.0,2.0,0.0,1.0,256.0,0.0,3.0
83,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0
84,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0
85,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0
86,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0
87,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
88,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
89,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
90,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0
91,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
93,2.0,3.0,2.0,0.0,1.0,122.0,0.0,3.0
94,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0
95,2.0,6.0,1.0,0.0,0.0,122.0,0.0,2.0
96,2.0,6.0,1.0,0.0,0.0,122.0,0.0,2.0
97,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0
98,2.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0
99,2.0,5.0,2.0,0.0,1.0,122.0,0.0,2.0
100,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
101,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
102,2.0,3.0,1.0,0.0,0.0,122.0,0.0,2.0
103,2.0,3.0,1.0,0.0,0.0,125.0,0.0,2.0
104,2.0,4.0,1.0,0.0,0.0,101.0,0.0,2.0
105,2.0,7.0,1.0,0.0,0.0,101.0,0.0,2.0
106,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
107,2.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0
108,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0
109,2.0,5.0,2.0,0.0,0.0,122.0,0.0,2.0
110,2.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0
111,2.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0
112,2.0,7.0,1.0,0.0,0.0,122.0,0.0,2.0
113,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
114,2.0,6.0,1.0,0.0,0.0,101.0,0.0,2.0
115,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
116,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
117,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
118,2.0,5.0,2.0,0.0,0.0,101.0,0.0,2.0
119,2.0,6.0,1.0,0.0,0.0,101.0,0.0,2.0
120,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
121,2.0,6.0,1.0,0.0,0.0,101.0,0.0,2.0
122,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
123,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
124,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
125,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
126,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0
127,2.0,6.0,1.0,0.0,0.0,101.0,0.0,2.0
128,2.0,3.0,1.0,0.0,0.0,122.0,0.0,2.0
129,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
130,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
131,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
132,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
133,2.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0
134,2.0,5.0,1.0,0.0,0.0,101.0,0.0,2.0
135,2.0,4.0,1.0,0.0,0.0,122.0,0.0,2.0
136,2.0,4.0,1.0,0.0,0.0,101.0,0.0,2.0
137,2.0,5.0,2.0,0.0,0.0,122.0,0.0,2.0
138,2.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0
139,2.0,3.0,2.0,0.0,0.0,125.0,0.0,2.0
140,2.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0
141,2.0,6.0,2.0,0.0,0.0,101.0,0.0,2.0
142,2.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0
143,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0
144,3.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0
145,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
146,3.0,2.0,1.0,1.0,1.0,121.0,1.0,2.0
147,2.0,6.0,1.0,0.0,0.0,121.0,0.0,2.0
148,2.0,3.0,1.0,0.0,1.0,121.0,0.0,2.0
149,2.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0
150,2.0,7.0,1.0,0.0,0.0,101.0,0.0,2.0
151,2.0,8.0,1.0,0.0,0.0,100.0,0.0,2.0
152,2.0,8.0,2.0,0.0,0.0,100.0,0.0,2.0
153,2.0,7.0,1.0,0.0,0.0,100.0,0.0,2.0
154,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
155,2.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0
